legajo,nombre,apellido,email,genero,nota_1p,nota_2p,nota_final,nivel,instructor
959,Cello,Guildford,cguildfordqm@bloglines.com,2,7.90,4.14,02.04,4,7
960,Menard,Krook,mkrookqn@live.com,2,7.77,7.50,9.86,3,1
961,Idell,Brandenberg,ibrandenbergqo@zimbio.com,1,5.27,6.76,,4,20
962,Shela,Bartholat,sbartholatqp@unesco.org,1,8.79,5.53,3.38,4,13
963,Edan,Croal,ecroalqq@pen.io,2,9.11,8.92,5.16,5,18
964,Salvador,Barhams,sbarhamsqr@google.co.uk,2,6.97,3.36,,4,1
965,Lorna,Gludor,lgludorqs@ihg.com,1,8.37,06.01,6.19,1,2
966,Brunhilde,Adshead,badsheadqt@baidu.com,1,8.65,9.29,2.96,2,15
967,Zeb,Monkeman,zmonkemanqu@furl.net,2,3.54,8.41,,2,12
968,Dilly,Collin,dcollinqv@ucla.edu,2,7.20,2.18,7.73,2,19
969,Giovanna,Stockney,gstockneyqw@dyndns.org,1,3.52,1.71,3.62,2,3
970,Zed,Lathbury,zlathburyqx@mit.edu,2,4.42,1.76,9.73,4,4
971,Tally,Gierardi,tgierardiqy@issuu.com,1,4.21,8.62,7.58,4,10
972,Karoly,Miller,kmillerqz@posterous.com,1,5.14,9.54,3.89,1,13
973,Joela,Pass,jpassr0@chron.com,1,5.31,5.58,3.26,1,1
974,Alexandre,Klehn,aklehnr1@amazon.com,2,6.27,3.73,8.95,5,2
975,Janek,Rigler,jriglerr2@booking.com,2,7.25,1.36,,1,2
976,Bibbie,Agastina,bagastinar3@foxnews.com,1,07.09,06.02,,4,9
977,Thane,Stobbs,tstobbsr4@nsw.gov.au,2,3.13,8.71,9.85,1,11
978,Ed,Rousel,erouselr5@cmu.edu,2,6.74,4.68,,5,5
979,Lenka,Edeson,ledesonr6@engadget.com,1,7.95,2.60,,2,9
980,Gillie,Davidman,gdavidmanr7@mysql.com,1,3.67,08.07,2.56,1,16
981,Iorgo,Mussard,imussardr8@guardian.co.uk,2,9.51,9.37,4.86,1,13
982,Daryl,Toghill,dtoghillr9@earthlink.net,2,6.26,7.72,5.18,2,12
983,Lorelei,Kettlestringes,lkettlestringesra@blog.com,1,5.34,2.31,5.33,5,1
984,Redford,Fort,rfortrb@cdc.gov,8,09.03,8.64,1.38,1,2
985,Mic,Treneer,mtreneerrc@cafepress.com,8,01.03,2.72,05.01,2,10
986,Care,Momery,cmomeryrd@statcounter.com,2,9.68,7.50,8.00,1,4
987,Ree,Versey,rverseyre@uol.com.br,3,1.12,2.95,7.29,1,1
988,Kandace,Godbolt,kgodboltrf@newsvine.com,1,4.65,9.26,,1,20
989,Nolie,Moulden,nmouldenrg@is.gd,1,5.50,4.14,9.59,4,19
990,Ninnette,Ebbage,nebbagerh@blogs.com,1,7.55,5.16,02.08,5,3
991,Kalli,Godlonton,kgodlontonri@businessweek.com,1,2.70,6.90,7.11,4,6
992,Kile,Pavel,kpavelrj@networksolutions.com,2,6.88,9.36,9.96,3,19
993,Carey,Amphlett,camphlettrk@fotki.com,2,9.89,8.22,,2,14
994,Horace,Balcers,hbalcersrl@cocolog-nifty.com,2,8.56,03.08,,4,13
995,Krishna,Kitchingman,kkitchingmanrm@jimdo.com,2,8.94,1.34,7.11,2,18
996,Van,Rounding,vroundingrn@ycombinator.com,2,1.16,4.23,4.26,3,1
997,Janeta,Farney,jfarneyro@prnewswire.com,1,3.71,8.17,4.41,2,18
998,Jamill,Vernazza,jvernazzarp@typepad.com,2,1.40,6.80,5.56,4,4
999,Storm,Venus,svenusrq@samsung.com,1,1.71,2.37,1.74,2,4
1000,Willy,Schelle,wschellerr@washingtonpost.com,4,5.95,5.68,5.25,4,13
